consumption_live,lat,lng,speed_kmh
0.0,50.52973316666667,18.0908105,24.0
0.0,50.52974433333333,18.090817666666666,24.0
0.0,50.529755333333334,18.090824833333333,23.9
0.0,50.52977766666667,18.090838833333333,24.0
0.0,50.529788833333335,18.090845666666667,23.9
0.0,50.52981116666667,18.090859333333334,23.9
0.0,50.529822333333335,18.090866,23.9
0.0,50.52984466666667,18.090879,23.9
0.0,50.529855833333336,18.090885666666665,23.9
0.0,50.529878333333336,18.09089833333333,23.8
0.0,50.5298895,18.090904833333333,23.9
0.0,50.529912,18.090917333333334,23.9
0.0,50.52992316666667,18.090923666666665,23.8
0.0,50.5299455,18.090936166666665,23.8
0.0,50.52995683333333,18.0909425,23.7
0.0,50.529968,18.090948666666666,23.7
0.0,50.52999033333333,18.090961,23.7
0.0,50.5300015,18.09096733333333,23.7
0.0,50.530034666666666,18.090986666666666,23.5
0.0,50.530045666666666,18.0909935,23.6
0.0,50.530067333333335,18.0910075,23.5
0.0,50.53007816666667,18.091014833333332,23.5
0.0,50.53008883333333,18.091022333333335,23.5
0.0,50.53011016666667,18.091038,23.4
0.0,50.5301205,18.091046,23.3
0.0,50.53014133333333,18.091062833333332,23.3
0.0,50.5301515,18.0910715,23.3
0.0,50.530161666666665,18.0910805,23.3
0.0,50.530181666666664,18.091099333333332,23.3
0.0,50.530191333333335,18.091109166666666,23.2
0.0,50.5302105,18.091129833333333,23.2
0.0,50.530229166666665,18.091151333333332,23.1
0.0,50.53024716666667,18.091174166666665,23.1
0.0,50.530255833333335,18.091185833333334,23.0
0.0,50.5302645,18.091197833333332,23.0
0.0,50.530281,18.091222666666667,22.9
0.0,50.5302965,18.091248833333335,22.8
0.0,50.53031083333333,18.091276333333333,22.7
0.0,50.530323833333334,18.0913055,22.6
0.0,50.530357333333335,18.091434,21.9
