distance_m,speed_kmh,engine,elevation_m,corner_cap_kmh
593.9,24.25,0,205.33,55.0
594.9,24.23,0,205.33,55.0
595.9,24.22,0,205.33,55.0
596.9,24.21,0,205.32,55.0
597.9,24.20,0,205.32,55.0
598.9,24.18,0,205.32,55.0
599.9,24.17,0,205.32,55.0
600.9,24.16,0,205.32,55.0
601.9,24.15,0,205.31,55.0
602.9,24.14,0,205.31,55.0
603.9,24.13,0,205.31,55.0
604.9,24.11,0,205.31,55.0
605.9,24.08,0,205.31,55.0
606.9,24.07,0,205.31,55.0
607.9,24.05,0,205.31,55.0
608.9,24.04,0,205.31,55.0
609.9,24.01,0,205.31,55.0
610.9,24.00,0,205.31,55.0
611.9,23.99,0,205.30,55.0
612.9,23.97,0,205.30,55.0
613.9,23.97,0,205.30,55.0
614.9,23.98,0,205.29,55.0
615.9,23.96,0,205.29,55.0
616.9,23.97,0,205.29,55.0
617.9,23.98,0,205.28,55.0
618.9,23.97,0,205.28,55.0
619.9,23.96,0,205.28,55.0
620.9,23.94,0,205.27,55.0
621.9,23.95,0,205.27,55.0
622.9,23.93,0,205.27,55.0
623.9,23.92,0,205.27,55.0
624.9,23.90,0,205.27,55.0
625.9,23.89,0,205.26,55.0
626.9,23.86,0,205.27,55.0
627.9,23.86,0,205.26,55.0
628.9,23.86,0,205.26,55.0
629.9,23.86,0,205.25,55.0
630.9,23.85,0,205.25,55.0
631.9,23.85,0,205.25,55.0
632.9,23.85,0,205.24,55.0
633.9,23.85,0,205.24,55.0
634.9,23.84,0,205.24,55.0
635.9,23.84,0,205.23,55.0
636.9,23.83,0,205.23,55.0
637.9,23.83,0,205.23,55.0
638.9,23.84,0,205.22,55.0
639.9,23.85,0,205.21,55.0
640.9,23.84,0,205.21,55.0
641.9,23.85,0,205.21,55.0
642.9,23.87,0,205.20,55.0
643.9,23.90,0,205.19,55.0
644.9,23.94,0,205.18,55.0
645.9,23.97,0,205.17,55.0
646.9,24.00,0,205.16,55.0
647.9,24.00,0,205.15,55.0
648.9,24.01,0,205.15,55.0
649.8,24.04,0,205.14,55.0
650.8,24.06,0,205.13,55.0
651.8,24.07,0,205.12,55.0
652.8,24.08,0,205.12,55.0
653.8,24.08,0,205.11,55.0
654.8,24.09,0,205.11,55.0
